iter	Passed	Remaining
945	78422	4476
946	78505	4393
947	78582	4310
948	78668	4227
949	78746	4144
950	78812	4060
951	78899	3978
952	78983	3895
953	79069	3812
954	79176	3730
955	79266	3648
956	79349	3565
957	79437	3482
958	79528	3400
959	79606	3316
960	79690	3234
961	79763	3150
962	79831	3067
963	79915	2984
964	79986	2901
965	80063	2817
966	80138	2734
967	80221	2651
968	80333	2570
969	80410	2486
970	80499	2404
971	80580	2321
972	80657	2238
973	80739	2155
974	80810	2072
975	80890	1989
976	80964	1906
977	81047	1823
978	81139	1740
979	81250	1658
980	81335	1575
981	81425	1492
982	81502	1409
983	81589	1326
984	81677	1243
985	81751	1160
986	81839	1077
987	81919	994
988	82002	912
989	82084	829
990	82189	746
991	82323	663
992	82407	580
993	82484	497
994	82555	414
995	82642	331
996	82713	248
997	82797	165
998	82877	82
999	82955	0
